salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
0.6961518108374429,0.0,0.5666666666666667,0.75,0.3157894736842105,0.5,1.0,1.0,0.7094483650600107,1.0
0.929952146884022,0.0,0.3999999999999999,1.0,0.631578947368421,0.875,1.0,0.0344827586206896,0.7900306780394268,1.0
0.7627665513650775,0.0,0.4833333333333333,0.5,0.0,0.375,1.0,0.7241379310344828,0.2440501704841705,1.0
0.0,0.7012484871566954,0.6000000000000001,0.0,1.0,0.125,1.0,1.0,0.1992592429132231,1.0
0.5688947729808946,0.0,0.6499999999999999,0.25,0.3157894736842105,0.125,1.0,0.0,0.9173596524767736,0.0
0.1643494867323302,0.7041220501445418,0.8500000000000001,0.5,0.894736842105263,0.25,1.0,0.6206896551724138,0.4336794304392662,0.0
0.5754277778809173,0.0,0.2,0.25,0.4210526315789473,0.125,1.0,0.7586206896551725,0.466432141341879,0.0
0.1108509815324485,0.5317918717295176,0.2166666666666667,1.0,0.4210526315789473,0.0,1.0,0.1724137931034483,0.9014147624218758,0.0
0.8330678554206948,0.0,0.2,0.25,0.5263157894736842,0.25,1.0,0.3793103448275862,0.0415361282995257,0.0
0.6215916988522097,0.0,0.6333333333333333,0.5,0.9473684210526316,0.5,1.0,0.1724137931034483,0.586213309148963,1.0
0.2297185356841478,0.7708615908762146,0.0333333333333333,0.25,0.1578947368421052,0.125,1.0,0.3793103448275862,0.3121733734094503,0.0
0.5734937541588849,0.0,0.45,1.0,0.1578947368421052,0.25,1.0,0.1034482758620689,0.200935980070837,1.0
0.4587512171149374,0.0,0.35,0.5,0.0,0.375,1.0,0.1724137931034483,0.7751290951165775,0.0
0.516042914989596,0.0,0.3333333333333333,1.0,1.0,0.25,1.0,0.6206896551724138,0.9167560008606154,0.0
0.822658971891124,0.0,0.7,0.75,0.7368421052631579,0.5,1.0,0.7586206896551725,0.4223578028852052,1.0
0.0698532371304136,0.7142572089303548,0.6333333333333333,0.25,0.2105263157894736,0.375,1.0,0.5517241379310345,0.0599319503482324,1.0
0.9812440444738172,0.0,0.1333333333333333,1.0,0.8421052631578947,1.0,0.5928269313221819,0.7241379310344828,0.6443926293626756,0.0
0.4026619385011134,0.5062679752045937,0.2833333333333334,0.75,0.3157894736842105,1.0,0.6379367919818986,0.3103448275862069,0.8063328940819391,0.0
0.2471520919298234,0.3895147216014019,0.3999999999999999,0.75,1.0,0.75,1.0,0.9655172413793104,0.1472789178521897,1.0
0.1203080123953122,0.9478305496723008,0.6166666666666667,0.75,0.0526315789473684,1.0,0.1616729603805602,0.8620689655172414,0.183444848685058,1.0
